1686 3
128.3 218.8 135.4
145.7 220.6 136.5
104.6 205.9 134
86.35 62.19 101.7
73.49 89.76 110.5
146.9 184.8 144.6
138.1 44 92.71
167.4 201.2 142.1
86.14 44.59 93.78
127.3 8.8 94.06
127.5 14.67 94.32
174.5 183.6 141.5
159.5 189.5 139.1
141.2 196.5 138.5
126.9 22.88 103.7
173 193 141.4
101.7 33.44 102.2
136.4 59.84 105.1
130.9 65.12 99.12
149.1 176.6 147
153 26.99 99.71
180.8 184.2 142.6
114.6 26.4 100.4
127.8 5.28 64.06
145.6 9.973 102.4
229.6 174.8 150.1
207.3 177.2 143.6
188.4 180.1 142.7
126 15.84 112
148.8 180.7 142
107 18.19 102.9
126.5 21.71 95.4
147.2 47.52 116.7
174.4 192.4 142.7
142.2 193.6 142.3
172.9 200.6 140.6
190.7 201.8 139.1
122 21.12 104
180.4 188.3 142.6
154 188.9 142.5
128.2 190.1 139.6
115.5 32.27 98.33
118.2 31.68 113.6
170.5 196.5 140.9
169.5 197.1 141.5
144.9 197.7 141.5
138.4 199.5 141.4
160.4 186.6 141.4
188.5 193 137.3
120.1 30.51 93.13
185 198.3 136.4
141.7 178.3 142.8
136.8 81.55 132.3
115 34.03 83.8
150 46.93 81.21
169.3 188.9 141.4
172.2 192.4 138.3
154.8 195.9 138.1
146.7 199.5 136
117.8 44.59 104.5
114.5 45.76 97.04
128.4 86.24 117.4
134.4 210.6 133.6
122.2 35.2 96.05
118.2 36.96 91.75
148.9 200.6 137.9
143 69.81 96.87
107.9 44 101.2
125.1 68.05 109
122.9 56.91 100.1
97.37 49.28 93.01
116.7 219.4 135.7
146.2 224.7 134.8
104.2 238.8 133.8
102.4 227 135.9
152.4 208.9 137.9
162.5 210 139.9
178.9 211.8 136.4
123 106.2 118.1
111.7 104.4 107.7
133.9 230 134.4
111.8 230.6 133.2
128 226.5 137.1
145.1 210 140.6
108.7 217.7 137.5
148.2 209.4 137.7
164.9 210.6 140.5
122.6 218.8 135.3
148.6 219.4 136.8
171.6 204.7 140.2
169.3 204.7 139.2
162.9 205.9 139.8
168.1 206.5 140
135 207.7 139.4
120.1 213.5 136.1
127.4 213.5 137
138.4 214.1 138.1
162.1 214.7 139.9
158.7 215.9 138
105.1 230 134.9
124.6 211.8 140.8
114.1 234.7 136.1
112 236.4 136.7
137.6 224.1 135.4
111.1 224.1 135.1
113 225.3 134.8
140.4 224.7 136
137.1 225.9 135.5
132.9 210 143.2
122.8 227.6 135.5
108.7 230.6 134.8
117.8 211.2 144.3
127.3 217.7 141.2
132.7 213.5 138.6
77.08 52.8 92.49
177.4 222.3 137.1
108 227 133.2
137.3 209.4 138.9
99.46 57.49 103.5
82.1 49.28 90.18
129.2 217.7 133.8
165.2 217.7 136.6
136.4 220 135.8
105.2 201.2 135
108.2 203 132.7
130.2 224.1 136.7
130.7 218.8 138
123.8 222.3 142.2
128.3 220.6 136.8
131.9 205.3 139.6
139.3 205.9 133.2
129.1 227 136.4
99.43 226.5 133.9
128.6 217.1 141.6
124.4 214.1 138.6
117.2 227.6 136.3
110.9 223.5 136.2
152.7 210 131.5
130 204.2 134.3
96.94 68.64 85.89
117.3 211.8 131.6
120.2 190.1 140
137.9 195.4 137.3
133.6 202.4 135.2
127.5 210 132.9
165.4 214.7 132
126.2 224.7 130.4
102.8 207.7 133.4
115.8 215.3 128.8
123.6 187.7 141.4
131.2 193 138.2
180.7 205.9 133.4
200.2 214.7 128.9
139 81.55 120.9
138.1 81.55 116.2
137.1 191.8 138.1
135.6 194.8 136.2
193.6 203.6 133
182 207.7 131.6
124.8 193.6 138.5
113.6 196.5 139.4
131.8 69.81 94.26
148.7 219.4 129.6
84.98 54.56 88.88
110.9 78.03 108.1
168 208.3 133.2
154.5 212.4 131.2
152.6 217.1 130.4
156.9 222.9 127.4
104.3 61.01 84.2
116.3 79.79 91.02
121.4 78.61 106.6
126 203 136.1
136.3 198.9 135.9
156.9 205.9 132.2
149.5 200.6 132.7
131.4 207.7 133
135.7 198.3 135.3
135.8 201.8 135
101.7 83.89 85.12
99.07 85.65 81.53
135.3 199.5 136.7
104.6 203 138.1
99.85 87.41 112.6
95.72 89.76 110.4
128.3 204.2 133.7
116 211.2 130.2
118.1 208.3 136.2
85.95 215.3 131.2
163 202.4 130.6
162.4 205.9 130.1
132.2 209.4 128.5
121.8 213.5 127.1
123 205.9 132.9
116.6 209.4 131.9
113.5 213.5 130.3
110 217.7 129.8
92.82 210.6 136.5
70.02 65.71 106.8
95.36 225.9 130.6
66.31 238.2 130.7
86.89 65.71 80.68
87.2 69.81 109.3
93.65 91.52 107
85.28 88.59 96.07
84.31 217.7 135.3
93.57 222.9 131.2
103.6 229.4 134.5
76.06 237 128.6
27.72 242.3 132.3
41.96 247.6 143
119.9 237 146
61.85 238.8 135.1
80.97 242.9 144.1
58.21 228.8 136.8
49.22 236.4 135.3
12.99 14.08 63.13
20.84 14.67 107.8
22.79 249.9 144
23.55 256.4 148.2
10.34 39.89 81.95
75.4 242.3 129.1
57.34 94.45 57.11
41.79 37.55 114.6
18.81 49.87 28.96
64.18 55.15 93.65
81.31 201.8 127.4
59.13 80.96 34.05
67.85 92.11 45.41
38.36 58.67 104.1
32.57 214.1 134.8
36.24 110.9 77.56
40.95 116.2 70.72
49.53 244.6 157.6
34.69 261.1 138.1
45.83 227 138.1
49.11 239.9 146.4
21.44 136.7 102.9
22.7 129.1 104.5
6.221 24.64 73.38
9.07 15.84 78.53
11.94 22.88 53.92
12.63 23.47 56.82
47.88 127.9 78.36
107.2 229.4 105.9
97.7 72.75 66.09
143.8 59.84 95.78
42.47 257 91.85
42.12 257 94.86
23.68 158.4 70.37
27.85 169.5 67.88
62.88 62.77 79.35
126.4 193 129.8
80.65 59.84 76.42
170.3 192.4 124.2
31.15 258.1 94.57
40.52 257 96.42
29.76 75.68 103.1
48.43 125.5 83.57
8.323 203.6 96.64
9.081 207.1 100.7
8.053 139 124.6
11.9 198.3 95.27
28.83 130.2 99.94
52.89 219.4 114.8
42.09 246.4 113
72.44 245.8 103.2
73.22 78.61 72.6
82 188.3 124.6
83.48 69.23 36.11
104.3 63.36 75.32
42.24 95.63 82.98
34.29 77.44 100.1
38.72 56.32 100.5
78.62 87.41 67.02
76.57 69.23 49.5
110 201.8 129.5
83.84 50.45 81.04
105.2 90.35 111.1
49.58 144.9 94.44
19.1 43.41 103.3
53.08 108.5 84.68
46.05 86.83 84.28
72.84 86.24 75.04
70.26 70.4 79.73
41.99 130.8 80.52
56.07 123.8 92.12
40.66 108.5 84.93
41 105.6 85.67
12.13 28.16 142.9
54.92 95.63 84.8
58.13 90.35 83.65
45.84 79.79 82.95
45.89 72.75 86.77
46.77 68.64 86.36
94.15 78.61 63.93
80.04 62.77 51.5
83.32 73.33 36.82
94.07 76.85 59.7
56.87 75.09 81.25
74.36 82.13 64.67
76.6 73.33 57.97
76.44 64.53 64.29
76.47 56.32 58.46
83.23 82.72 50.71
79.66 78.03 47.52
77.6 71.57 43.9
74.29 65.71 42.56
73.31 58.08 43.32
62.05 127.9 61.08
66.07 230.6 116.9
57.59 210 130.9
65.47 89.76 79.74
50.65 52.21 86.02
115.4 191.3 131.1
57.79 115 72.73
41.87 88.59 89.46
84.75 166.6 105.2
82.27 221.8 117
37.27 61.6 100.9
81.15 200.6 134.7
117.2 202.4 128.1
74.83 66.29 71.37
45.58 126.1 49.49
70.05 126.1 59.92
21.65 69.23 88.59
60.23 114.4 71.03
39.37 78.61 87.65
41.54 60.43 97.74
14.29 46.35 115.5
40.2 120.3 62.82
78.93 120.9 75.26
89.59 140.8 88.68
72.65 117.9 87.15
36.5 80.96 90.59
14.72 33.44 111
33.52 72.75 103.7
56.21 96.21 84.97
60.69 96.21 81.21
48.49 67.47 84.69
57.98 199.5 133.6
61.31 59.84 80.6
66.09 133.8 114.4
47.33 76.27 83.92
36.63 68.05 98.33
49.5 86.83 87.98
62.99 205.3 132.3
94.12 206.5 134.7
48.4 62.19 86.46
48.36 59.84 86.27
49.38 58.67 85.53
58.51 73.92 89.12
73.42 194.8 123.1
77.06 230.6 114.3
73.26 231.1 112.3
83.53 116.7 84.57
68.26 101.5 70.39
51.77 83.89 94.78
71.53 86.83 67.19
54.7 112.6 79.89
69.64 180.7 100.5
75.88 225.9 113.9
93.43 226.5 111
59.2 95.63 79.6
65.27 96.8 67.85
72.6 96.8 66.91
89.13 140.8 101.2
114.6 201.8 128.2
67.86 67.47 75.28
90.14 189.5 126.6
123.1 192.4 130.8
46.84 63.95 97.26
61.68 76.85 79.54
71.82 78.03 73.21
77.89 78.61 65.89
109.8 195.9 128.2
88.23 129.1 107.4
122.2 197.7 129.8
104.3 197.7 132.6
84.28 56.91 73.02
94.48 107.9 114.3
102 68.64 73.34
116.4 119.7 120.4
69.83 48.69 68.87
91.93 123.2 113.6
99.19 179.5 132.4
154.3 180.1 136
75.2 50.45 44.35
77.45 45.76 51.58
91 46.93 71.04
117.6 186.6 129.1
54.74 256.4 92.86
27.96 256.4 112.2
102 230 101.6
110.4 229.4 103.2
14.69 190.7 86.18
17.07 193 82.01
15.15 184.8 88.05
19.36 174.8 64.3
59.89 244.6 106
54.63 244.6 102.3
45.99 181.9 80.67
75.35 180.7 65.6
100.9 55.15 68.27
92.73 95.04 87.85
147.3 204.7 126.1
127.1 48.69 83.35
87.99 87.41 62.77
99.82 211.8 120.5
146.5 211.8 113.8
143.7 211.8 115.1
185.5 183.6 135.1
128.1 174.8 135.8
118 53.39 89.58
130.2 61.6 69.05
73.01 229.4 116.5
93.56 228.8 104.2
77.59 116.2 96.68
95.72 211.8 120.6
103.7 193 132.4
90.67 60.43 68.14
98.48 221.8 114.4
99.86 221.2 111.7
94.3 221.2 115.7
100.2 220.6 110.9
93.95 68.05 61.85
87.69 75.09 66.12
93.4 72.16 68.78
121.4 125.5 97.27
114.7 179.5 134.1
168.4 185.4 130.2
120.3 96.8 115
133.2 65.71 100.3
128.4 183 133.6
122.7 183.6 133.6
144 182.5 131.3
115.4 73.33 96.2
115.5 180.1 136.2
118.9 173.1 137.8
111.9 56.32 103.7
133.2 167.8 137.7
105.1 193 134.7
125.5 191.8 129.4
133.4 181.9 133.8
135.3 183.6 132.9
107.1 177.2 133.4
167.2 181.9 136.7
124.1 187.1 132.3
129.4 187.7 132.7
100.7 188.3 136.7
112.3 188.3 134.3
120.1 187.7 131
108.7 176.6 134.6
158.7 174.2 139.3
173.1 176 138.5
165 177.8 136.3
159.9 178.3 132.6
121.6 183.6 131.5
118.2 176.6 136.3
119.6 96.21 119.4
122.4 97.39 109.3
85.52 93.87 108.3
86.46 85.65 107.8
95.49 78.03 106.2
101.5 70.4 106.9
111.3 170.1 137.7
99.81 100.3 121.8
100 92.11 121.9
124.6 85.07 108.5
128.2 83.31 102.8
131.1 83.31 97.99
98.29 85.07 100.6
91.76 69.81 82.28
129.3 183.6 132.5
127.4 76.85 96.88
198.3 186 131.6
137.3 181.3 131.9
117.4 86.83 101.1
100.1 52.8 75.15
95.95 56.32 72.64
96.93 62.77 81.85
124.1 181.3 129.8
127.2 179.5 134.7
142.7 178.9 132.7
129.6 82.72 106.9
111.2 59.84 110.7
116.4 168.4 137.9
158.2 209.4 125
139 62.19 98.36
124.1 169.5 138.5
187.7 169 138
196.8 168.4 138.7
185.1 169 138.1
133.3 83.89 92.74
135.6 84.48 86.86
137.1 86.24 80.85
116.8 85.65 79.74
95.33 229.4 108.4
104.4 229.4 105
113.4 211.8 112.3
118.4 211.8 115.4
94.32 61.6 70.62
163.7 192.4 125.4
118.7 221.2 109.6
129.1 220.6 108.2
112.2 220.6 109.3
144.5 220.6 107.2
122.5 202.4 121.1
177.1 202.4 118
145.3 202.4 118.5
146.3 202.4 120.8
124.4 60.43 94.44
102 61.6 88.16
150.6 176 136.7
131.3 52.21 69.98
109 65.71 88.4
105.3 65.12 84.08
171.6 184.8 128.8
119.9 63.36 70.75
205.4 166.6 138.5
118.6 168.4 137.5
144 48.69 81.51
121.4 72.16 61.03
54.17 252.9 131.8
61.27 149 88.85
74.79 91.52 85.63
84.46 107.4 96.59
117.8 125 49.01
101.6 114.4 35.86
41.81 257.5 139.4
37.29 256.4 143.2
45.64 268.7 131
52.6 275.1 127.2
1.185 2.827 127.3
29.23 18.37 100.3
10.2 12.72 46.08
23.3 27.7 98.81
2.11 30.81 137.1
16.07 21.77 56.81
18.15 36.18 68.14
13.86 43.25 83.68
14.05 105.4 126.8
5.955 38.16 97.54
14.23 107.4 117.3
7.951 48.05 96.02
11.27 23.46 101.9
13.98 105.2 130.8
6.303 45.79 87.02
13.02 124.7 117.2
13.78 45.79 101.3
18.03 103.5 114.7
9.874 100.1 123.1
20.45 24.03 118.9
13.12 21.48 48.48
11.02 117 113.5
9.565 111.4 90.23
3.049 61.34 85.95
5.308 112.8 115.9
6.636 117 133.1
23.74 40.99 106.9
27.82 92.15 129.1
22.54 93 129.2
12.09 28.83 93.1
9.613 21.77 89.98
10.1 115.6 111.2
5.816 97.24 86.19
14.84 60.77 102.1
19.08 106.6 116.8
1.617 60.21 82.22
1.61 59.36 74.78
1.678 61.06 77.62
2.106 96.11 90.81
1.572 61.9 98.11
12.66 110.8 121.1
12.34 109.4 120.3
9.808 105.4 121.8
12.69 112.2 129.4
12.53 112.5 130.7
34.12 94.13 125.8
29.65 93.85 131
18.81 13 105.6
18.47 17.24 64.73
16.75 31.94 79.26
15.27 51.16 93.22
20.02 98.37 126.7
19.59 98.93 126.9
21.83 99.78 125.2
24.47 26.01 118.6
34.08 88.19 138.3
33.54 89.32 138.5
31.97 92.43 136.9
24.7 46.07 125.7
15.32 64.17 99.83
15.73 97.8 114.4
18.87 49.18 109.3
22.92 99.78 126.6
25.24 90.17 136.3
27.46 91.87 131.6
14.81 35.33 76.32
15.76 53.42 110
21.49 95.82 120.3
16.14 58.23 101.1
17.72 100.9 122.2
18.41 25.72 79.92
21.18 42.4 109
29.53 96.95 119.5
31.52 95.82 120
22.87 95.54 129.3
14.53 61.34 107.2
15.64 66.43 87.04
15.56 36.75 78.89
21.77 96.95 119.1
22.75 54.27 93.74
20.49 50.31 105.5
14.59 38.73 79.6
15.17 56.53 105.8
15.59 58.23 104.9
16.14 58.51 101.2
15.91 57.1 101.7
15.95 34.2 77.59
16.47 35.62 78.73
21.79 55.4 91.73
21.87 94.98 125.2
19.34 93.85 128
20.86 45.79 109.3
17.1 42.68 99.65
22.54 38.44 112.8
28.76 93 126.7
17.83 29.11 77.61
20.2 49.18 108.1
20.76 46.92 105.7
21.16 46.64 109
18.42 97.52 127.7
20.78 43.81 114.7
21.7 42.4 110.2
26.29 46.36 102.1
27.15 93.56 122.6
32.09 95.54 125.2
9.522 55.4 101.4
17.21 101.5 115.1
16.28 55.4 82.18
17.32 63.6 101.6
19.97 58.51 102.7
20.25 60.21 109
14.79 59.93 81.09
17.73 97.52 116.3
18.85 100.3 115.8
19.55 102.3 116.3
17.62 58.79 98.15
20.5 100.6 126.1
20.43 99.22 125
17.47 62.47 102.2
31.32 97.24 120.3
21.72 94.98 129.7
35.61 92.43 126.4
27.88 92.15 130.4
22.97 98.93 130.6
30.29 98.09 118.5
22.07 96.11 129.3
21.4 96.95 127.9
32.61 95.26 124.2
24.69 92.71 133.4
26.44 93.56 128.8
26.52 93.85 127.6
40.26 88.76 136.6
35.14 88.47 139.1
19.12 17.53 123.8
18.38 13.29 98.81
24.25 33.35 110.6
30.18 88.47 131.6
31.5 89.89 135.7
33.03 89.89 134.7
33.54 90.45 136.3
25.21 20.92 117.5
34.76 87.63 139.5
35.18 89.04 140.9
37.47 89.32 139.2
32.63 90.17 136.9
28.77 34.2 102.2
39.57 90.45 130.9
27.65 87.63 134.5
33.16 88.47 138.4
23.26 37.03 111.1
28.36 39.29 99.01
29.06 89.32 128.9
33.52 92.15 129.2
37.53 91.87 127.9
24.08 29.11 115.2
37.73 88.19 133.5
36.56 89.61 132.9
32.41 89.32 138
32.15 89.04 136.6
32.91 88.19 141.3
37.36 89.04 137.5
26.81 20.35 114.2
19.03 15.83 117.8
24.82 23.18 120
34.57 88.76 135.9
33.44 88.19 135.3
34.72 87.63 138.8
36.67 87.63 138
25.28 19.22 116.4
34.96 87.91 140
34.65 88.47 141.3
35.7 88.19 140.8
32.74 88.47 141.4
31.02 89.89 135.1
30.34 90.17 135.8
37.33 88.19 138.3
34.08 88.76 138.9
29.01 89.89 133.8
30.11 91.02 132.8
30.25 91.3 131.6
30.64 91.58 131.6
34.53 89.04 136.6
34.6 89.04 137.9
34.52 89.32 138.1
33.87 89.89 137.7
38.46 89.04 139.8
35.75 89.61 138.5
18.66 13.29 102.5
20.91 23.74 119.8
36.02 87.63 139.8
35.21 89.89 138.8
39.82 90.17 138.8
37.1 90.74 138
32.43 31.09 114.5
31.18 31.38 118.7
32.46 33.64 120.5
31.57 35.05 123
18.01 105.7 114.8
15.52 106.3 126.9
20.6 99.22 127.2
18.92 97.52 129.1
25.13 92.71 131.9
27.9 94.13 130.2
17.35 102.6 123.1
17.5 102.9 125
16.67 102 125.6
16.73 100.6 124
22.89 95.54 125.1
22.12 94.41 130.3
27.15 96.95 128.2
25.24 97.24 128.1
18.09 104.9 114.2
18.89 106.3 117.6
17 102 122.9
17.61 102.9 124.5
20.62 98.93 126.1
20.28 99.22 127.2
18.23 103.5 113.9
16.76 104.3 123.7
16.77 104.6 124.4
16.63 104.9 124.5
18.51 100.3 123.9
18.32 68.12 105.4
18.28 100.9 124.8
18.23 100.9 125
22.38 95.54 129.4
21.77 94.98 129
26.98 91.87 128.4
29.88 93 131.2
21.9 97.24 127.8
21.02 97.24 127.9
20.71 97.24 127.7
20.81 96.67 127.1
26.27 93.85 126.7
22.72 93.28 130
24.07 92.71 130.8
28.36 94.41 129.6
15.98 106.6 131.8
14.87 106 126.2
17.18 102.6 124.1
16.17 101.5 124.1
18.77 98.37 126.8
21.57 98.65 125.3
16.27 104.6 124.8
15.42 104.3 125.5
15.53 103.7 127.1
15.59 103.2 126.7
17.54 100.6 124.9
16.49 79.99 116.2
17.37 99.22 123.3
19.23 99.22 126.3
24.94 96.11 128.9
26.39 97.24 128.3
28.96 94.13 130.6
25.96 93.56 130
20.61 96.11 128.7
23.88 97.52 127.3
24.12 98.37 127.4
24.53 98.93 127.6
28.67 95.26 129.4
27.88 95.82 129.3
25.57 95.82 130.1
24.47 95.26 130.3
34.99 90.45 137.8
26.6 94.69 134.4
19.64 25.16 112.9
17.41 19.5 66.72
31.2 91.87 136.2
28.69 92.71 133.9
24.07 89.04 135.7
21.98 92.43 131.3
28.45 43.81 120.3
26.35 41.55 121.7
24.09 43.25 119.2
22.63 27.42 82.78
32.55 91.02 136.5
30.16 92.71 135.3
30.74 89.89 137.7
33.44 91.3 137.4
31.9 92.15 134.1
30.41 92.71 134.4
31.72 92.71 133.4
30.88 93.85 132.2
32.58 90.45 137.1
30.67 91.02 136.9
28.5 92.15 134.8
25.71 93.28 133.7
31.58 90.74 135.3
27.41 41.83 122.5
19.99 24.59 116.6
19.05 16.39 68.89
35.49 89.32 138.3
33.5 90.17 137.7
30.99 91.02 137.4
29.27 91.87 137
30.81 36.46 123.7
29.82 37.31 123.6
29.94 40.7 123.4
26.23 35.05 119.8
24.75 94.13 131.8
22.99 91.87 132
29.35 93.85 134.7
25.96 63.88 122.7
29.53 92.15 133
27.14 91.87 132.3
24.16 91.02 131.9
22.53 92.71 130.3
31.09 94.13 134.4
30.27 94.69 133.8
27.44 91.02 136
25.06 89.89 137
25.2 41.55 119.8
22.88 35.9 109.9
17.85 17.24 64.58
16.75 21.77 65.88
27.78 93 136.3
26.33 56.53 121.2
23.42 44.66 114.4
21.84 22.9 94.96
25.58 36.18 118
23.93 35.9 113.9
23.03 35.62 108.3
21.99 25.16 76.84
3.345 71.23 89.39
4.938 116.2 120.5
13.03 100.1 127.4
8.375 58.51 92.46
1.491 62.19 83.02
1.467 66.71 113.8
1.453 52.29 129.4
1.432 41.55 133.4
13.02 108 107.7
7.671 107.7 117.8
7.567 110.2 121.1
6.454 112.5 127.3
16.36 68.97 126.6
9.138 22.9 91.82
14.41 23.74 56.23
10.8 13.57 48.84
15.83 97.8 127.9
11.83 44.94 94.43
8.268 32.22 90.67
6.135 23.18 106.6
20.32 33.07 83.45
11.66 20.35 87.73
10.8 19.79 89.03
